,words,occurences
1551,acts,129094
1552,combat,129074
1553,break,129051
1554,say,128938
1555,faculty,128811
1556,look,128779
1557,oldest,128759
1558,vice,128561
1559,transfer,128551
1560,frequently,128460
1561,methods,128210
1562,towns,128201
1563,agent,128122
1564,memory,128113
1565,properties,128035
1566,entitled,127991
1567,orchestra,127871
1568,reference,127790
1569,settled,127775
1570,steel,127747
1571,bought,127745
1572,fans,127731
1573,articles,127725
1574,founding,127543
1575,gallery,127428
1576,programme,127419
1577,simple,127402
1578,unable,127313
1579,sides,127231
1580,holds,127123
1581,portion,126973
1582,ocean,126960
1583,gun,126751
1584,mike,126648
1585,unknown,126539
1586,battalion,126537
1587,claim,126473
1588,sexual,126354
1589,audience,126301
1590,refused,126259
1591,trust,126235
1592,starring,126209
1593,necessary,126195
1594,billboard,126153
1595,permanent,125991
1596,secret,125864
1597,search,125830
1598,aired,125752
1599,surname,125660
1600,creating,125607
1601,presidential,125532
1602,guest,125378
1603,peak,125364
1604,korean,124942
1605,nuclear,124886
1606,normal,124803
1607,retirement,124703
1608,transportation,124647
1609,exhibition,124525
1610,worldwide,124424
1611,institutions,124370
1612,citizens,124184
1613,ultimately,124166
1614,expansion,124160
1615,conflict,124090
1616,rank,124054
1617,personnel,124031
1618,risk,124009
1619,application,123923
1620,effective,123825
1621,covers,123824
1622,vehicles,123799
1623,powers,123728
1624,arrested,123700
1625,storm,123630
1626,crown,123571
1627,attempts,123570
1628,unlike,123517
1629,interior,123328
1630,ring,123192
1631,supporting,123171
1632,partner,123130
1633,stock,123092
1634,trees,123000
1635,broke,122835
1636,federation,122663
1637,kind,122446
1638,extensive,122429
1639,holy,122414
1640,oxford,122393
1641,flying,122357
1642,want,122220
1643,philosophy,122149
1644,brand,122094
1645,poetry,122084
1646,soccer,122049
1647,choice,122040
1648,metres,122010
1649,sense,121908
1650,intelligence,121890
1651,graduate,121750
1652,alliance,121700
1653,miss,121503
1654,fought,121471
1655,documentary,121432
1656,yellow,121399
1657,perform,121348
1658,entry,121178
1659,copies,121142
1660,phase,121078
1661,fund,121051
1662,recognition,121015
1663,sets,120871
1664,maximum,120806
1665,hands,120795
1666,commissioned,120790
1667,communist,120732
1668,agricultural,120711
1669,drug,120566
1670,employed,120451
1671,occupied,120164
1672,standards,120129
1673,sign,119915
1674,visited,119889
